학습자료명,페이지 번호,키워드명,파일명,목차명,확장자명,출처명,홈페이지주소,작성일자,데이터기준일자,제공기관코드,제공기관명
조선 후기의 서민문화,,조선 후기의 서민문화;조선 후기 사회의 변화;조선 후기 신분제 붕괴;탈춤;양반 풍자;초등학교 5학년 사회 조선 사회의 새로운 움직임;초5 사회 조선 사회의 새로운 움직임;서민 문화,,,,,https://www.edunet.net/contsMvGllry/view/152/86920,,2025-04-21,B550629,한국교육학술정보원
풍속화로 살펴본 조선 사람들의 생활,,풍속화;김홍도;신윤복;풍속화 속 조선 사람들의 생활;초등학교 5학년 사회 조선 사회의 새로운 움직임;초5 사회 조선 사회의 새로운 움직임;서민 문화의 발달,,,,,https://www.edunet.net/contsMvGllry/view/152/1966676,,2025-04-21,B550629,한국교육학술정보원
조선의 도시 발달,,"조선, 한양, 도시 발달",,,,,https://www.edunet.net/contsMvGllry/view/152/3928,,2025-04-21,B550629,한국교육학술정보원
한양을 건설한 정도전,,고려의 멸망;조선의 건국;정도전;조선시대 4대문;한양도성;초등학교 5학년 사회 유교 전통이 자리 잡은 조선;초5 사회 유교 전통이 자리 잡은 조선;조선의 건국과 한양,,,,,https://www.edunet.net/contsMvGllry/view/152/46946,,2025-04-21,B550629,한국교육학술정보원
임금의 밥상으로 본 백성의 생활,,임금의 밥상;공납;진상;조선시대 세금;수라;초등학교 5학년 사회 유교 전통이 자리 잡은 조선;초5 사회 유교 전통이 자리 잡은 조선;조선의 건국과 한양,,,,,https://www.edunet.net/contsMvGllry/view/152/78000,,2025-04-21,B550629,한국교육학술정보원
조선시대 육조 거리와 청계천,,조선시대 육조;청계천;육조판서;육조가 하는 일;육조거리;조선시대 육조거리;초등학교 5학년 사회 유교 전통이 자리 잡은 조선;초5 사회 유교 전통이 자리 잡은 조선;조선의 건국과 한,,,,,https://www.edunet.net/contsMvGllry/view/152/1997811,,2025-04-21,B550629,한국교육학술정보원
세계의 지형,,세계의 지형;지구의 표면;지형;지구의 지붕;산과 산맥;평원;평원이 만들어지는 방법;하천;사막;오아시스;대양;초등학교 6학년 사회 세계 여러 지역의 자연과 문화;초6 사회 세계 여러,,,,,https://www.edunet.net/contsMvGllry/view/152/46803,,2025-04-21,B550629,한국교육학술정보원
세계의 기후,,세계의 기후;쾨펜의 기후 구분 기준;다양한 세계의 기후;열대기후;건조기후;온대기후;냉대기후;한대기후;초등학교 6학년 사회 세계 여러 지역의 자연과 문화;초6 사회 세계 여러 지역의,,,,,https://www.edunet.net/contsMvGllry/view/152/49592,,2025-04-21,B550629,한국교육학술정보원
세계의 축제,,세계의 축제;카니발;페스티발;축제의 기원;특산물 축제;예술 축제;에딘버러 국제 페스티발;초등학교 6학년 사회 세계 여러 지역의 자연과 문화;초6 사회 세계 여러 지역의 자연과 문화,,,,,https://www.edunet.net/contsMvGllry/view/152/79026,,2025-04-21,B550629,한국교육학술정보원
세계의 음식,,세계의 음식;자연 환경과 문화에 따른 음식;다른 나라 아침 식사;초등학교 6학년 사회 세계 여러 지역의 자연과 문화;초6 사회 세계 여러 지역의 자연과 문화,,,,,https://www.edunet.net/contsMvGllry/view/152/1995549,,2025-04-21,B550629,한국교육학술정보원
세계화의 문제점,,"세계화의 문제점;질병;유해 물질;공장 노동자들의 일자리 상실;개발도상국 문화 무시;환경 문제;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6 사회 정보화,세계화 그리고 우리",,,,,https://www.edunet.net/contsMvGllry/view/152/5220,,2025-04-21,B550629,한국교육학술정보원
한류,,"한류;한국 문화;한국 드라마;k-pop;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6 사회 정보화,세계화 그리고 우리",,,,,https://www.edunet.net/contsMvGllry/view/152/95126,,2025-04-21,B550629,한국교육학술정보원
세계화의 좋은 점,,"세계화의 좋은 점;다른 나라 제품;일자리 제공;다양한 문화;지구의 문제 해결;판매 시장 확대;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6 사회 정보화,세계화 그리고 우리",,,,,https://www.edunet.net/contsMvGllry/view/152/97969,,2025-04-21,B550629,한국교육학술정보원
